;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"13-02 12";-0,5098584;0,640221;0,6678672;-0,4911328;-0,4508332;0,4106931;0,7758976;-0,3924941;0,352807;0,3029464
"13-02 13";-0,4234553;0,236354;0,3885355;-0,4304022;-0,6113268;0,4106931;0,423033;-0,4979934;0,4380106;0,007130833
"13-02 14";0,1235112;0,3334421;0,4160516;-0,1357807;-0,01350226;0,4106931;0,6307073;-0,4002808;0,4663689;-0,07142572
"13-02 15";0,6132874;0,3043756;0,3889514;-0,09991553;0,1010543;0,4106931;0,613166;-0,4196164;0,6110651;-0,06706706
"13-02 16";0,9696231;0,277703;-0,242791;0,1787931;-0,3260168;-0,9602906;-0,2596114;-0,4218534;0,6716827;-0,2373149
"13-02 17";1,146077;0,2516049;-0,2936922;0,3649473;-0,5770581;-1,015506;-0,075781;-0,4300106;2,193097;-0,1970589
"13-02 18";1,208987;-0,2828858;-0,5710831;0,3980887;-0,6354642;-1,015506;-0,4625433;-0,5676736;2,997876;-0,1009547
"13-02 19";1,3033;-1,248582;-1,105985;0,5771074;-0,8723776;-1,015506;-1,266001;-0,4234963;2,621709;-0,02949323
"13-02 20";1,316901;-1,249362;-1,170271;0,5530839;-0,6612068;-1,015506;-1,373193;-0,3062697;2,354151;0,1885372
"13-02 21";1,158642;-1,238456;-1,146759;0,6524443;-0,9152831;-1,015506;-1,176175;-0,1676086;2,126385;0,4332361
"13-02 22";1,026731;-1,25946;-1,146361;0,7922758;-1,113724;-1,015506;-1,164767;0,09715246;1,937906;0,5377132
"13-02 23";0,7644466;-1,241442;-1,172759;0,49226;-1,369312;-1,015506;-1,220441;0,4386363;1,797664;0,5680444
"14-02 00";0,6417976;-1,259242;-1,102514;0,4231098;-1,713886;-1,015506;-1,276616;0,7194164;1,495472;0,8399865
"14-02 01";0,6628809;-1,247949;-1,188005;0,07925189;-2,033543;-1,015506;-1,383081;0,9531924;1,299892;1,116808
"14-02 02";0,9892264;-1,250568;-1,128301;0,1931588;-2,201619;-1,015506;-1,473293;1,21402;1,071521;1,132081
"14-02 03";1,247939;-1,244696;-1,104476;-0,1253322;-2,129979;-1,015506;-1,435743;1,460833;0,7322637;1,039602
"14-02 04";1,386018;-1,269945;-1,01235;-0,2950274;-2,220845;-1,015506;-1,312704;1,651815;0,5715516;1,101112
"14-02 05";1,336355;-1,251853;-1,030023;-0,3424476;-2,352814;-1,015506;-1,4844;1,769116;0,5208032;1,144932
"14-02 06";1,111313;0,82084;-0,1724865;0,03599083;-2,457497;-1,015506;-0,3322105;1,615504;0,4108982;1,316571
"14-02 07";1,196016;0,9224736;-0,07993638;0,6250809;-2,234129;-1,015506;-0,2123022;1,312896;0,2749335;1,301318
"14-02 08";1,232793;0,9700403;0,01991302;-0,2697091;-1,900483;-1,015506;-0,09860334;1,040404;0,01998247;1,146843
"14-02 09";0,8997769;0,9442732;0,005736747;-0,3557664;-1,172423;-1,015506;-0,1011539;0,8102179;0,08270164;1,082359
"14-02 10";0,263599;0,9672856;-0,03824023;-0,6605533;-0,8144112;-1,015506;-0,1553828;0,5453146;0,1273073;0,9581987
"14-02 11";-0,2700803;0,9539149;0,01683329;-0,6590601;-1,304761;-1,015506;-0,08062778;0,1902207;0,2052587;0,7886234
"14-02 12";-0,04922265;0,8771865;-0,01748142;-0,1076347;-0,6791347;-1,015506;-0,1330943;-0,2194442;0,2493232;0,4080428
"14-02 13";0,1386444;0,110821;-0,3747245;-0,09485559;-1,506555;-1,015506;-0,610603;-0,5743103;0,3210145;0,2993569
"14-02 14";-0,1420482;-0,1755965;-0,5396148;-0,1611488;-0,8333115;-1,015506;-0,6374814;-0,5207291;0,3521486;0,3255961
"14-02 15";0,1467303;-0,241685;-0,5519801;0,07078741;0,5657865;-0,862564;-0,6570635;-0,4731244;0,470173;0,238751
"14-02 16";0,3822892;-0,4694998;-0,1772904;0,2605357;0,6585829;-0,2884243;-0,1119104;-0,4843609;0,4508142;0,4879567
"14-02 17";0,6676035;-0,2754993;-0,01073985;0,6282205;-1,579561;-0,2884243;0,3447395;-0,3634879;0,8508892;0,4293208
"14-02 18";0,7236028;-0,5898504;-0,1538727;0,7012734;-0,5918938;-0,2884243;0,1296297;-0,5081487;1,210541;0,5497768
"14-02 19";0,5912419;-1,018663;-0,5867884;0,6263089;-0,7950962;-0,2884243;-0,5029538;-0,5392698;1,407493;0,8764859
"14-02 20";0,6328797;-0,9734024;-0,5066547;0,6035143;-1,090047;-0,2884243;-0,3929239;-0,4431929;1,431413;0,9972847
"14-02 21";0,4758785;-1,033342;-0,4828767;0,5291409;-0,9923714;-0,2884243;-0,1323992;-0,4224795;1,396874;1,146923
"14-02 22";0,1947707;-0,6098248;-0,2232328;0,3867442;-1,128141;-0,2884243;0,2526975;-0,2811868;1,275358;1,235294
"14-02 23";0,08998785;-0,1517531;0,07150173;0,6184052;-1,124884;-0,2884243;0,7195055;-0,09372949;1,165594;1,389143
"15-02 00";0,2111314;-0,1449298;-0,0004815942;0,6529589;-1,371897;-0,2884243;0,3834651;0,03821955;0,9758469;1,455826
"15-02 01";0,7238663;-0,5444247;-0,1619904;0,4333713;-1,843486;-0,2884243;0,1474469;0,141248;0,9304609;1,40769
"15-02 02";1,212585;-0,8860676;-0,3860707;0,3521087;-1,837798;-0,2884243;-0,4143114;0,368439;0,8250817;1,321745
"15-02 03";1,302436;-0,8953444;-0,3618306;0,3128559;-1,921754;-0,2884243;-0,3909854;0,5503151;0,8261867;1,34768
"15-02 04";1,374091;-0,8827854;-0,316808;0,1815953;-2,043953;-0,2884243;-0,3119279;0,6709874;0,7761124;1,35028
"15-02 05";1,312945;-0,8776987;-0,3299265;0,09354416;-2,202166;-0,2884243;-0,5391031;0,7130767;0,6820313;1,276345
"15-02 06";1,346523;-0,1575443;0,01949819;0,1910818;-2,044508;-0,2884243;-0,0845682;0,6018015;0,5448019;1,256197
"15-02 07";1,350408;0,09502397;0,2293769;-0,2249892;-1,667999;-0,2884243;0,1908947;0,3553054;0,3828339;1,159174
"15-02 08";1,098473;0,2181334;0,2818909;-0,3678035;-0,7068864;-0,2884243;0,2660085;-0,03475469;0,2089919;1,079011
"15-02 09";0,6036454;-0,8403402;-0,3359322;0,1878396;-0,2919341;-0,2884243;-0,5643148;-0,4151491;0,3289295;1,244804
"15-02 10";0,2935256;-0,8011284;-0,2756616;0,8240774;-0,2279154;-0,2884243;-0,4821468;-0,4242315;0,4344548;0,864718
"15-02 11";0,02507382;-1,05306;-0,508862;-1,904003;-0,3239148;-0,2884243;-0,7931625;-0,2691948;0,4987804;0,615074
"15-02 12";-0,2416273;0,4831003;0,4391599;-1,045052;-0,3054435;-0,2884243;0,4680174;-0,3091784;0,5753356;0,397881
"15-02 13";-0,2752967;0,4414207;0,4026862;-0,2292115;0,1943761;-0,2884243;0,4316763;-0,5144189;0,4893729;0,3991187
"15-02 14";0,07316981;0,4141383;0,2927406;0,1129525;1,965367;-0,2884243;0,5351268;-0,5898084;0,3564618;0,550811
"15-02 15";0,3746082;0,1295375;0,2544888;0,02844984;0,7497633;-0,2884243;0,5000361;-0,7538995;0,5088503;0,2614996
"15-02 16";1,02201;-0,5665662;-0,1449505;0,1618848;0,6606634;-0,2884243;-0,0780761;-0,6979303;0,6283796;0,03794502
