;"RIS-QI01_TT";"IPU-FB18";"SAN3-FB01";"ANL1-QI02";"ANL1-QI01";"SAN3-ML01";"POL_FT04";"IPU_LT01";"SED5-QI11";"SED5-QI01"
"20.02.2023";-0,5004507;-0,4458798;-0,4938942;-0,4937105;-0,5821472;-0,4434994;-0,5799172;-0,5739728;-0,3852749;-0,5205927
"20.02.2023";-0,4610389;-0,4130366;-0,4670839;-0,4713662;-0,5840212;-0,430047;-0,5847853;-0,5847955;-0,4079551;-0,5397801
"20.02.2023";-0,4342626;-0,390723;-0,4406574;-0,4500079;-0,5650361;-0,4080045;-0,5634246;-0,5719718;-0,4053783;-0,5313627
"20.02.2023";-0,413251;-0,3732133;-0,4028676;-0,4184288;-0,5368412;-0,3830209;-0,5343094;-0,5568467;-0,3908651;-0,5089267
"20.02.2023";-0,369307;-0,3365933;-0,3489751;-0,374006;-0,4974788;-0,3377862;-0,487022;-0,5268828;-0,3638631;-0,4746872
"20.02.2023";-0,3292192;-0,3031868;-0,2913246;-0,326052;-0,4547557;-0,2999445;-0,4449624;-0,5044423;-0,3465603;-0,4481882
"20.02.2023";-0,3219486;-0,2971279;-0,2632226;-0,3038999;-0,435135;-0,2821175;-0,4206921;-0,4936056;-0,3355706;-0,4281395
"20.02.2023";-0,3134197;-0,2900206;-0,2502386;-0,2945224;-0,4268268;-0,2724792;-0,4145997;-0,4914808;-0,3363117;-0,4212792
"20.02.2023";-0,3260288;-0,3005281;-0,2509916;-0,2983922;-0,4302665;-0,2644979;-0,4045815;-0,4766401;-0,3171776;-0,3982962
"20.02.2023";-0,3396209;-0,3118549;-0,2748781;-0,3231365;-0,4521371;-0,3006894;-0,4481699;-0,5129945;-0,3588172;-0,4500067
"20.02.2023";-0,3595541;-0,3284659;-0,2966101;-0,3442562;-0,4738606;-0,3144866;-0,4624397;-0,5226476;-0,362209;-0,4584619
"20.02.2023";-0,3828695;-0,3478954;-0,3262722;-0,373992;-0,5037783;-0,3417839;-0,4931439;-0,5477002;-0,3840658;-0,4876537
"20.02.2023";-0,3957736;-0,3586488;-0,3357675;-0,3874113;-0,5157067;-0,3565199;-0,5126331;-0,5684183;-0,393615;-0,5041199
"20.02.2023";-0,4105177;-0,3709356;-0,3555216;-0,4097137;-0,535531;-0,3709979;-0,5190832;-0,5746269;-0,3966029;-0,5174198
"20.02.2023";-0,4104466;-0,3708763;-0,3588504;-0,4164843;-0,5415493;-0,3764745;-0,5270247;-0,5870433;-0,4024968;-0,531067
"20.02.2023";-0,3967406;-0,3594546;-0,3332335;-0,3930154;-0,520688;-0,3616129;-0,513752;-0,5801005;-0,3844751;-0,5225282
"20.02.2023";-0,3824747;-0,3475664;-0,311199;-0,3741106;-0,5038838;-0,3454484;-0,4924589;-0,56955;-0,3653961;-0,5103441
"20.02.2023";-0,375015;-0,34135;-0,2972134;-0,3624272;-0,4934985;-0,3236429;-0,4743811;-0,5480564;-0,3364929;-0,4834415
"20.02.2023";-0,1973151;-0,1932667;-0,0815257;-0,1729354;-0,3250614;-0,1500157;-0,2765416;-0,4406433;-0,2173816;-0,3526484
"20.02.2023";-0,1657268;-0,1669431;-0,00508266;-0,1046396;-0,264354;-0,08482494;-0,2080584;-0,3826415;-0,145501;-0,272126
"20.02.2023";-0,214424;-0,2075242;-0,05103238;-0,1415309;-0,2836672;-0,08036333;-0,1990763;-0,3402246;-0,1008386;-0,2204864
"20.02.2023";-0,3900918;-0,353914;-0,3336038;-0,3839162;-0,4827352;-0,2827972;-0,4325992;-0,4639945;-0,2632002;-0,4135486
"20.02.2023";-0,3960715;-0,3588971;-0,3525676;-0,3988728;-0,4960299;-0,3010081;-0,4420105;-0,4719618;-0,2865448;-0,4415247
"20.02.2023";-0,4084522;-0,3692144;-0,3807867;-0,4212602;-0,5159299;-0,3156724;-0,4612078;-0,4734742;-0,3031242;-0,4602052
"20.02.2023";-0,4003156;-0,3624339;-0,3959986;-0,4380994;-0,5308981;-0,3440852;-0,4965413;-0,5034598;-0,3603243;-0,5214546
"20.02.2023";-0,396521;-0,3592716;-0,3988002;-0,4429975;-0,5352519;-0,3570765;-0,5116563;-0,5207904;-0,3939694;-0,5515025
"20.02.2023";-0,3929601;-0,3563042;-0,3895321;-0,4364578;-0,5294389;-0,3597388;-0,5143778;-0,528845;-0,409364;-0,5589864
"20.02.2023";-0,3898022;-0,3536726;-0,371549;-0,4233336;-0,5177729;-0,3326063;-0,4830176;-0,5076927;-0,3846905;-0,5156202
"20.02.2023";-0,378087;-0,34391;-0,3454494;-0,4051211;-0,501584;-0,3182724;-0,466477;-0,510671;-0,378606;-0,5015342
"20.02.2023";-0,3650988;-0,3330865;-0,3057668;-0,3769552;-0,4765476;-0,2909148;-0,4309775;-0,4905451;-0,3592798;-0,4703331
"20.02.2023";-0,3417118;-0,3135974;-0,2673409;-0,3502719;-0,4486159;-0,2426711;-0,3808308;-0,4550534;-0,3100183;-0,4070098
