
Input, Output
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.04, 23.07
0.02, 23.07
0.02, 23.07
0.02, 23.07
0.01, 23.07
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.03, 23.07
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.01, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.05
0.02, 23.05
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.01, 23.06
0.01, 23.05
0.01, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.06
0.02, 23.06
0.01, 23.05
0.02, 23.05
0.01, 23.05
0.02, 23.06
0.01, 23.06
0.01, 23.05
0.01, 23.05
0.02, 23.05
0.01, 23.05
0.01, 23.05
0.01, 23.05
0.02, 23.05
0.02, 23.05
0.01, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.05
0.01, 23.05
0.01, 23.05
0.01, 23.05
0.01, 23.05
0.02, 23.05
0.02, 23.05
0.01, 23.05
0.01, 23.05
0.01, 23.05
0.02, 23.05
0.02, 23.05
0.01, 23.05
0.01, 23.05
0.01, 23.05
0.02, 23.05
0.01, 23.05
0.02, 23.05
0.01, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.05
0.02, 23.06
0.01, 23.06
0.01, 23.06
0.01, 23.05
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.01, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.02, 23.06
0.03, 23.07
0.02, 23.07
0.03, 23.07
0.03, 23.07
0.03, 23.08
0.03, 23.08
0.02, 23.08
0.03, 23.08
0.05, 23.09
0.05, 23.11
0.05, 23.12
0.05, 23.13
0.05, 23.13
0.05, 23.14
0.06, 23.15
0.06, 23.16
0.05, 23.16
0.06, 23.17
0.06, 23.17
0.06, 23.17
0.09, 23.19
0.09, 23.21
0.09, 23.22
0.09, 23.23
0.09, 23.24
0.09, 23.25
0.09, 23.26
0.09, 23.27
0.09, 23.28
0.09, 23.28
0.09, 23.28
0.09, 23.29
0.13, 23.31
0.13, 23.33
0.13, 23.35
0.13, 23.36
0.13, 23.37
0.13, 23.38
0.13, 23.39
0.13, 23.40
0.13, 23.41
0.13, 23.41
0.13, 23.42
0.13, 23.42
0.16, 23.44
0.17, 23.46
0.17, 23.48
0.17, 23.50
0.17, 23.51
0.17, 23.52
0.17, 23.53
0.17, 23.54
0.17, 23.55
0.17, 23.56
0.18, 23.57
0.18, 23.57
0.21, 23.60
0.21, 23.62
0.21, 23.63
0.21, 23.65
0.22, 23.67
0.21, 23.68
0.22, 23.69
0.22, 23.70
0.22, 23.71
0.22, 23.72
0.22, 23.72
0.22, 23.73
0.25, 23.75
0.25, 23.77
0.26, 23.78
0.25, 23.80
0.26, 23.81
0.26, 23.82
0.26, 23.83
0.26, 23.84
0.27, 23.86
0.27, 23.87
0.26, 23.88
0.27, 23.88
0.31, 23.91
0.30, 23.93
0.30, 23.95
0.31, 23.97
0.31, 23.98
0.31, 24.00
0.31, 24.01
0.31, 24.02
0.31, 24.03
0.31, 24.04
0.31, 24.04
0.31, 24.05
0.35, 24.07
0.35, 24.09
0.35, 24.11
0.35, 24.13
0.36, 24.15
0.35, 24.16
