Input Voltage, Output Temp
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.03, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.02, 23.00
0.01, 23.00
0.01, 23.00
0.02, 23.00
0.01, 23.00
